epoch,train_loss,train_dice,train_iou,train_hd95,val_loss,val_dice,val_iou,val_hd95
1,0.8140003455651773,0.6674692518002278,0.5120502180747084,52.30328958783133,0.37235609167500544,0.7961575733987909,0.6647188788966129,35.42959074614915
2,0.5372497262181463,0.7763492698604996,0.6379008317315901,34.04601869480295,0.2425202578306198,0.7993287224518625,0.6688154496644673,29.00938091981223
3,0.4653827326523291,0.7940198392481417,0.6618089659793956,29.883351923885595,0.19565567609510923,0.8363978015749078,0.7213653169180217,24.64430619218617
4,0.41123860953627406,0.8153211031411145,0.6914417155691095,26.478578012809947,0.2053038642594689,0.8078847715729162,0.6828256688619915,20.01473405785877
5,0.3767384622950812,0.8287272864096874,0.7106325074627593,23.191360205032556,0.1591902104647536,0.8610173589304874,0.7579627789949116,18.33347764789019
6,0.34939629785917903,0.8428761371084161,0.7311519569641834,20.929823717241877,0.1470027024808683,0.8763855068307174,0.7824636101722717,16.563179183231863
7,0.31410749820438594,0.8588679763110908,0.7547502686848512,19.138627699002406,0.14483503997325897,0.8797217387902109,0.7873477716194955,15.182846655376624
8,0.30232400165216344,0.864872862358351,0.7655268106106166,17.799619062110615,0.13643395665444827,0.8838138580322266,0.7937886401226646,15.16153862905827
9,0.38227902252126383,0.8281331618089933,0.7104803468729999,22.546730932972846,0.14959120162223516,0.8718329354336387,0.774667363417776,17.61825229493994
10,0.35907758812646606,0.8382579168757877,0.725377754585163,21.824319380533073,0.1615145900531819,0.8778923185248124,0.78379246749376,17.158151044131035
11,0.3478753937257303,0.8415466152332924,0.7294984218236562,19.838019458498213,0.15370353232873113,0.871837129718379,0.7749656564310977,17.535497021078246
12,0.3202410259762326,0.8556250245184511,0.7503280406062668,19.421205607490023,0.13732721068357168,0.8811686791871723,0.7890525146534568,15.95112962015527
13,0.3167972957363,0.8538957874517183,0.747032917834617,18.671250892166597,0.1370296674339395,0.8873660533051742,0.799126314489465,14.84815197159129
